IssueKey,Summary
OP-11203,"Audit - Pipeline execution - need to handle Connector Data button when no connectors are present"
OP-11206,"Mapping of Jira ticket information to service information"
OP-11207,"Epic level data generation and risk prediction analysis"
OP-11226,"Create RC images from v3.10.1 branch and deploy onto gitops-test-spin ns "
OP-11228,"Exploring the rule based code quality estimation approach"
OP-11230,"V3.10 - Unable to save the gates in latest 3.10.3 RC images"
OP-11234,"Epic Level Bug Data Collection and mapping with respective PRs"
OP-11235,"Data verification for Service-wise data "
OP-11240,"learnt how to created DB  and Table in PSql and perform crud Operations And Learnt about JPA Repo  and its implemention"
OP-11241,"created Database and Table in PostgreSql and perform crud Operations And Learnt about JPA Repository and its Implementation"
OP-11247,"Validation message is not displayed when user enters space in ‘Name' input box present in Setup → Application → Service → Connector → Template ->on click of Edit icon from Template to open the pop up"
OP-11251,"Release for 3.10.1"
OP-11252,"Release 3.10.1 "
OP-11253,"Create RC builds for 3.10.1"
OP-11254,"Perform end to end testing"
OP-11255,"Run regression suite on 3.10.1 Rc builds"
OP-11256,"End to end testing of cloud providers"
OP-11257,"Prepare release notes with all the required information"
OP-11260,"Handling state information while changing clustering algorithm technique is missing"
OP-11264,"SSL certificate is invalid in oes-release ns"
OP-11265,"Trigger Pipeline configuration to be added into oes-master ns "
OP-11276,"Collect the different DB sizes and share with team"
OP-10115,"Help Text has to be added for the Group Permissions"
OP-10123,"Review - Functional Test Cases Preparation"
OP-5992,"SAPOR > Download Manifest  for Agent   "
OP-5993,"SAPOR > Get available agent accounts consolidated configured"
OP-5995,"SAPOR > Controller Integration with all services"
OP-5996,"SAPOR > Hal config update for Jenkins, Bitbucket, Artifactory"
OP-6001,"SAPOR > Cloud Providers   for Agent flow"
OP-6056,"Read the policy violations count from the API -  dashboardservice/v4/users/admin/applications?pageNo=0&pageLimit=10&sortBy=&sortOrder=&search="
OP-6097,"reclassification comment coming in UI even though there is no reclassification history or entry in template"
OP-6217,"Autopilot service -  Risk Analysis API is failing to give count"
OP-6232,"Autopilot service - Verification gate canary Id bug"
OP-6299,"SAPOR> remove old cloudproviders API's"
OP-6301,"SAPOR>The agent page > Expand of the agent > have to  show the status of the individual connectors of that agent"
OP-6380,"Common 'gate' service for OES and Spinnaker to achieve SSO"
OP-6396,"oes-alone application features-unwanted fields "
OP-6487,"The secrets of Integrator, Cloud providers and Spinnaker should not be returned to UI "
OP-6521,"java-application dashboard-sorting order of application with ascending,descending order is only at page level"
OP-6526,"Update perl version inAutoplot, visibility,platform, dashboard services"
OP-6534,"Java - App & Service view - If application has only policy/verification gate - show only policy/verification gate details"
OP-10781,"UI Development"
OP-6545,"Java-Convert sync calls to async calls"
OP-6559,"Migration: 2.9 to 3.7 migration script for Autopilot"
OP-6591,"Add a null/empty string check to topic strings in template "
OP-6618,"Not able to see the created AWS account under cloud provider in opsmx-saas"
OP-6620,"Seeing the following UI validation issues under: Setup > Integrations"
OP-6700,"Fetch by pipeline UUID is returning multiple rows."
OP-6737,"Visibility Summary Page APIs"
OP-6773,"Create smoke & regression grouping tags for each test case in automation suite"
OP-6777,"k8s-provier CAP V2 - causes sapor to fail"
OP-6782,"OES should push the encrypted credentials to Bitbucket in a non Vault config"
OP-6815,"Setup - Integrations - data source credentials are shown in hidden format, where as user can see plain text in net work call "
OP-6835,"3.8 - NON-GITOPS update/submit spinnaker not enabled"
OP-6854,"Number of lines displayed in a pattern does not match contextual window size"
OP-6855,"Need for a separator line in downloaded patterns from contextual tab for identification "
OP-6857,"Spinnaker Setup X509 Implementation for V1 version in v3.8 and master"
OP-6892,"OES- sapor Agent AWS account setup"
OP-6909,"JAVA- Autopilot changes for RBAC implementation"
OP-6933,"Policy gates do not work properly"
OP-6949,"Clouddriver unable to Sync Kubernetes accounts from S3"
OP-6950,"Disable contextual for test verification flow"
OP-7013,"Java-Source control for accounts--GCP is not saving correctly in Bitbucket & S3 with relative path"
OP-7110,"Approval Summary box api changes"
OP-7212,"Setup page > Cloud Providers > Accept button is in disabled mode by default"
OP-7228,"Not able display the policy gate reason as it showing no reason provided"
OP-7236,"3.8: Enable Prometheus Metrics"
OP-7260,"Store p12 files for X. 509 authentication in Vault"
OP-7266,"OES home page is throwing some Java script error when opened."
OP-7270,"Spinnaker Custom gate plugin - Orca should be flexible for new plugins "
OP-7287,"Registry and Tag fields should be added in Prisma Cloud Connector"
OP-7294,"Java - Service Now Plugin"
OP-7312,"Audit service for Intelligent Software Delivery (ISD a.k.a OES)"
OP-7313,"Analyse on which No SQL databases to prefer among Postgres and MongoDB"
OP-7316,"OES - ECS cloud provider account implementation "
OP-7331,"UI - Verification - navigate to analysis page from dashboard/ change the verification run - display loader(if api is taking long time))"
OP-7352,"UI - If the service has multiple environments - alignment is not proper"
OP-7355,"create db - audit-client-service"
OP-7361,"POC: Indexing JSONB data in Postgres "
OP-7374,"POC: Send events to ELK"
OP-7381,"Menu items to be removed from the OES sidebar"
OP-7382,"Unable to delete Cloud Provider Accounts"
OP-7401,"Spinnaker - while creating the pipelin user can see Access denied Exception"
OP-7449,"OES implement API will give the direct sync flag - true/false"
OP-7453,"New UI URL for audit trail page"
OP-7457,"3.8 onwards: SAPOR gives misleading error log"
OP-7470,"3.9: OPA error message not clear"
OP-7471,"3.9: When saving OPA policy there is no error message if policy is wrong"
OP-7474,"Spinnaker - Approval gate Connectors are not getting updated in spinnaker  "
OP-7532,"UI - If no policy's are available - Click on Auto approval show some message like go and create policy in policy management "
OP-7540,"gitpr/AonA-Could not open JPA EntityManager for transaction; nested exception is org.hibernate.exception.JDBCConnectionException: Unable to acquire JDBC Connection"
OP-7563,"Autopilot is unable to fetch gray log data for non admin user."
OP-7626,"AonA > Canary analysis > Getting the NULL values for version1 and version2 names in Logs & metrics api calls response"
OP-7630,"3.9: Spinnaker config-page requires base64"
OP-10264,"Add Username and password for OES add spinnaker LDAP"
OP-10266,"Desk Check"
OP-7642,"Spinnaker Accounts Sync issue with Artifactory account"
OP-7649,"3.9: Jenkins integration successfully saved with bogus data"
OP-7658,"SonarQube - Resolve the Blocker issues in Autopilot"
OP-9320,"Blocker issues in DataControlService and S3Util classes"
OP-7659,"SonarQube - Resolve the Blocker issues in Platform"
OP-7660,"SonarQube - Resolve the Blocker issues in UI"
OP-7661,"SonarQube - Resolve the Blocker issues in Visibility "
OP-7664,"SonarQube - Resolve the Blocker issues in Audit Client"
OP-7677,"Java - Usage Insights - Total Gates Used  graph is shown as empty even though active gates are present "
OP-7678,"UI - Template creation - Display astrik symbol for mandatory fields n UI"
OP-7682,"Consistent summary screen for - Verification, Test Verification at the start"
OP-7685,"OES UI goes into cyclic reload on latest chrome and safari browser after logging in"
OP-7687,"OES - Should not logging any credentials bitbucket or Git in plain text"
OP-7689,"OES-analysis-minio overload-not-handled properly"
OP-7706,"Unable to access/login to OES after few mins."
OP-7708,"Securing OES end points is failing"
OP-7714,"Java - Policy Audit -  In download (csv) file time is shown as date"
OP-7716,"UI - Delivery Insights  - show time drop down for each graph table"
OP-7718,"AonA > Metric analysis > metricScore: null"
OP-7734,"UI - Setup - Edit application save is show as disable mode, unable to save the changes"
OP-7748,"Not able to extract the OPA path inside the trigger runtime policy API in SAPOR service"
OP-7749,"Java/UI - Audit - While downloading csv file api is failing or some other reason show some proper error message "
OP-7750,"Java - Audit - Audit data will display based on deployment details, if no deploy stage added to OES gates in Audit it will show NO gates available"
OP-7754,"Java- Active and Away users list "
OP-7762,"AonA--ERROR error found while updating log status null java.lang. NullPointerException: null at com.opsmx.analytics.util.JavaUtil.updateServiceRiskStatus(JavaUtil.java:160) ~[class"
OP-7780,"OSS Spinnaker - Policy gate insertion is failing "
OP-7784,"Albertson issue : Make the retrofit readTimeout , callTimeout and connectionTimeout configurable in GATE service"
OP-7805,"UI - Setup - Approval connectors - Add new connector tool tip is staying at top left corner"
OP-7837,"AonA-jdbc connection exception-in baseline image "
OP-7848,"2. In all pages wherever the grid is integrated before loading the data we are showing advance filter, sync button, new account creation also column selection. we should not show the features until grid is loaded"
OP-7855,"UI - Policy - Click on policy from deployment page redirection is working where as search is not taking app name , gate name etc.."
OP-7857,"Java -  Usage Insights - Gates used - Inconsistency behaviour with last one day graph "
OP-7862,"UI - Setup - Service name validation - Add same service name and update save is in disable mode"
OP-7863,"QA-Need to verify   Sumologic functionality "
OP-7865,"Platform master branch jenkins build is failing"
OP-7866,"GitPR pipeline > Visibility pod is failing due to lack of configuration"
OP-7868,"Automation - Usage Insight automation test cases"
OP-7894,"UI - Integrator -  Issue with UI validation while creating the prisma cloud integrator"
OP-7895,"Not able to connect OES to Spinnaker using bitbucket"
OP-7899,"InsightsController API update"
OP-7909,"AonA- Logsdata api is not returning any data though  cluster information in results folder sent from data-science."
OP-7911,"SAPOR API's  should return ContentType  as JSON "
OP-7915,"Stackoverflow error is coming when we set logging.level.root=DEBUG in autopilot configmap & trigger a canary"
OP-7917,"Java- need to implement  stackdriver datasource creation"
OP-7918,"Java - Policy Management - Issue with policy account name (when policy accname not available)"
OP-7948,"3.9.4: Adding dir to pipeline config in spinnaker setup fails"
OP-8180,"The connection between back-end and MinIO server in AonA is not working as expected."
OP-8197,"Unable to trigger analysis for only metric templates"
OP-8312,"3.9.4: Delete pipeline is giving a plugin-related error"
OP-8364,"Java - Platform Service : Add Authentication for the integrator AMAZON S3 "
OP-9568,"Identify the authentication API and implement it for integrator Amazon s3"
OP-9606,"Desk Check"
OP-9760,"UI Automation - Script Preparation & Execution"
OP-8365,"Java - Platform Service : Add Authentication for the integrator HCL AppScan"
OP-9571,"Identify the authentication API and implement it for HCL AppScan integrator "
OP-9608,"Desk Check"
OP-9816,"UI Automation - Script Preparation & Execution"
OP-8366,"Java - Platform Service : Add Authentication for the integrator Aqua wave"
OP-9572,"Identify the authentication API and implement it for Aqua wave"
OP-9610,"Desk Check"
OP-9817,"UI Automation - Script Preparation & Execution"
OP-8367,"Java - Platform Service : Add Authentication for the integrator Autopilot"
OP-9437,"Functional QA - Test Cases Review"
OP-9573,"Identify the authentication API and implement it for Autopilot integrator"
OP-9611,"Desk Check"
OP-9818,"UI Automation - Script Preparation & Execution"
OP-8368,"Java - Platform Service : Add Authentication for the integrator Aws CLOUDWATCH"
OP-9612,"Desk Check"
OP-9755,"UI Automation - Script Preparation & Execution"
OP-8370,"Java - Platform Service : Add Authentication for the integrator Jira"
OP-9614,"Desk Check"
OP-9756,"UI Automation - Script Preparation & Execution"
OP-8371,"Java - Platform Service : Add Authentication for the integrator Slack"
OP-9574,"Identify the authentication API and implement it for the integrator slack"
OP-9616,"Desk Check"
OP-9819,"UI Automation - Script Preparation & Execution"
OP-8372,"Java - Platform Service : Add Authentication for the integrator SumoLogic"
OP-9575," Identify the authentication API and implement it for the integrator Sumologic"
OP-9617,"Desk Check"
OP-9820,"UI Automation - Script Preparation & Execution"
OP-8373,"Java - Platform Service : Add Authentication for the integrator Stack driver"
OP-9576,"Identify the authentication API and implement it for the integrator Stack driver"
OP-9618,"Desk Check"
OP-9821,"UI Automation - Script Preparation & Execution"
OP-8374,"Java - Platform Service : Add Authentication for the integrator Bitbucket && Bitbucket server"
OP-9620,"Desk Check"
OP-9758,"UI Automation - Script Preparation & Execution"
OP-8375,"Java - Platform Service : Add Authentication for the integrator Jfrog Xray Scanning"
OP-9621,"Desk Check"
OP-9622,"Identify the authentication API and implement it for integrator Jfrog Xray Scanning"
OP-9759,"UI Automation - Script Preparation & Execution"
OP-8376,"Java - Platform Service : Add Authentication for the integrator Service now"
OP-9623,"Identify the authentication API and implement it for integrator Service now "
OP-9624,"Desk Check"
OP-9729,"UI Automation - Script Preparation & Execution"
OP-8444,"Caching frequently accessed APIs"
OP-8474,"UI - OES Login - Login to the OES UI for the first time is not working"
OP-8553,"Stage level RBAC for editing from developers - Try as a policy"
OP-8554,"Version control of Pipelines as plugin for Front50"
OP-8556,"UI Automation - Regression Test Cases"
OP-8561,"Error code for API and Documentation"
OP-8619,"Context Help"
OP-8620,"Risk Prediction based on data across delivery chain"
OP-8625,"Agent Integrator - While Accepting the agent accounts not able to fetch group permission details"
OP-10007,"UI Changes - Agent Integrator - While Accepting the agent accounts not able to fetch group permission details"
OP-11028,"Code Review - UI changes, passing agentId to fetch the group permission details"
OP-8704,"Help Text has to be added for  the screen - Setup -> Application -> New Application -> Metric Template -> Click on plus(+) icon -> Custom"
OP-8707,"Functional  - Test Case Preparation"
OP-8709,"UI Automation - Script Preparation & Execution"
OP-8710,"UI Automation – Review"
OP-8692,"Help Text has to be added for  the screen - Setup -> Application -> New Application -> Metric Template -> Click on plus(+) icon -> APM & INFRA"
OP-9280,"Help Text has to be added for  the screen - Setup -> Integrator ->New Integrator -> OPA and Verification &  Policy"
OP-9285,"Automation Test Script Preparation & Execution"
OP-9287,"Review - UI Automation"
OP-9288,"Story definition & Story Grooming"
OP-9289,"Unit Testing"
OP-8750,"Help Text has to be added for  the screen - Setup Page -> Application -> Services"
OP-8754,"Test cases Execution"
OP-8781,"Help Text has to be added for  the screen Compliance -> Policy Management"
OP-8784,"Test Case Preparation"
OP-9265,"Application Naming convention validation using OPA Static policy while creating application from Spinnaker..."
OP-10028,"UI Automation - Script Preparation & Execution"
OP-8808,"Help Text under help button has to be added for  the screen -  Setup -> Integrator"
OP-8812,"Test cases Execution"
OP-8813,"UI Automation - Script Preparation & Execution"
OP-8814,"UI Automation – Review"
OP-10441,"PR Review"
OP-8897,"Help Text has to be added for  the screen Dashboard -> Insights -> Delivery Insights"
OP-8712,"Help Text has to be added for  the screen - Continous Verification -> Verification -> Log Aanalysis & Summary"
OP-8715,"Test Case Preparation"
OP-8716,"Test cases Execution"
OP-8727,"Help Text has to be added for  the screen - Setup Page -> Application -> Services -> Log Template -> Log Provider & Log Topics & Log Tags"
OP-8730,"Test Case Preparation"
OP-8731,"Test cases Execution"
OP-8732,"UI Automation - Script Preparation & Execution"
OP-8733,"UI Automation – Review"
OP-8738,"Help Text tooltip to be added for  the screen Setup Page -> Creation of New Application"
OP-8788,"Help Text has to be added for  the screen Continious Delivery -> Visibility and Approval"
OP-8792,"Test cases Execution"
OP-8794,"UI Automation – Review"
OP-8910,"Help Text has to be added for  the screen Dashboard -> Insights -> Usage Insights"
OP-8889,"Help Text has to be added for  the screen Continuous Verification -> Verification -> Log Analysis "
OP-8894,"UI Automation - Script Preparation & Execution"
OP-8895,"UI Automation – Review"
OP-8920,"Extend the session when the user is active on the client side"
OP-9865,"Document the approach"
OP-9866,"API - provide an api that takes a duration as input and extend the backend session "
OP-9867,"UI - Development"
OP-9868,"Desk Check"
OP-9869,"Unit Testing"
OP-10566,"API to send the session timeout duration"
OP-11024,"Flow Chart the solution"
OP-8930,"Help Text has to be added for  the screen Continuous Verification -> Verification -> Metric Analysis"
OP-8933,"Test Case Preparation"
OP-8934,"Test cases Execution"
OP-8935,"UI Automation - Script Preparation & Execution"
OP-8936,"UI Automation – Review"
OP-8940,"Help Text has to be added for  the screen Continuous Verification -> Verification -> Correlation"
OP-8945,"UI Automation - Script Preparation & Execution"
OP-8946,"UI Automation – Review"
OP-8967,"Regression analysis of git and jira data"
OP-10967,"Generating release based git and jira data"
OP-10968,"Evaluating release based git and jira data"
OP-9083,"Framework and Approach definition"
OP-9088,"Functional QA – Test Cases Execution"
OP-9084,"Story definition and story grooming"
OP-9182,"Help Text has to be added for  the screen - Setup -> Integrator ->New Integrator -> Artifact"
OP-9188,"Review - Automation"
OP-9193,"Master -  Integrators - Unable to save the integrator due internal server error"
OP-9194,"Help Text has to be added for  the screen - Setup -> Integrator -> New Integrator ->CI"
OP-9198,"Functional QA - Test cases Execution"
OP-9199,"UI Automation - Script Preparation & Execution"
OP-9200,"Review - UI Automation"
OP-9212,"Master - UI - Integrators  -  Unable to add OPA integrator due to UI validation"
OP-9215,"Help Text has to be added for  the screen - Setup -> Integrator ->New Integrator ->  Governance"
OP-9223,"Story definition & Story Grooming"
OP-9220,"Automation Test Script Preparation & Execution"
OP-9221,"Review - UI Automation"
OP-9226,"Help Text has to be added for  the screen - Setup -> Integrator ->New Integrator -> Monitoring Tools (1)"
OP-9229,"Functional QA - Test Case Preparation"
OP-9230,"Functional QA - Test cases Execution"
OP-9231,"UI Automation - Script Preparation & Execution"
OP-9232,"UI Automation – Review"
OP-9234,"Story definition & Story Grooming"
OP-9235,"Unit Testing"
OP-9237,"Help Text has to be added for  the screen - Setup -> Integrator ->New Integrator -> Monitoring Tools (2)"
OP-9239,"Desk Check"
OP-9242,"Automation - Review"
OP-9243,"Automation Test script Preparation & Execution"
OP-9245,"Story definition & Story Grooming"
OP-9246,"Unit Testing"
OP-9262,"Implement caching mechanism in PLATFORM service"
OP-10255,"Cache the response of the GET API : /platformservice/v1/users/{username}/isadmin"
OP-10256,"Cache the response of the GET API : /platformservice/v1/users/{username}/resources/{resourceId}/{resourceType}/permissions"
OP-10257,"Cache the response of the GET API : /platformservice/v1/users/{username}/resources/{resourceType}/permissions/{permissionId}"
OP-10258,"Cache the response of the GET API : /platformservice/v1/users/{username}/resources/{resourceId}/{resourceType}/permissions/{permissionId}"
OP-10259,"Cache the response of the GET API : /platformservice/v1/users/{username}/verifications/applications"
OP-10260,"Cache the response of the GET API : /platformservice/v2/datasource"
OP-9270,"Help Text has to be added for  the screen - SetUp -> Integrator ->New Integrator ->  SAST/DAST"
OP-9275,"Automation Test Script Preparation & Execution"
OP-10154,"Automation - Review"
OP-9276,"clone"
OP-9297,"UI Automation"
OP-9383,"UI - Field level specific validations"
OP-9388,"UI Automation - Script Preparation & Execution"
OP-9389,"UI Automation – Review"
OP-9480,"Help Text has to be added for  the screen SetUp -> Cloud Provider ->"
OP-9483,"Test Case Preparation"
OP-9485,"Test cases Execution"
OP-9489,"Review - Functional test case preparation"
OP-9492,"Help Text has to be added for  the screen SetUp -> Agent"
OP-9495,"Test Case Preparation"
OP-9497,"Test cases Execution"
OP-9499,"Review - Functional Test cases Preparation"
OP-9504,"Help Text has to be added for  the screen SetUp -> Spinnaker"
OP-9509,"Funcitonal QA Test cases Execution"
OP-9513,"Review - Test cases preparation"
OP-9541,"Defects Fixing."
OP-9633,"Scrum Activities "
OP-9692,"Production pipeline - GitPR"
OP-9693,"Production pipeline - GitPR"
OP-10134,"refactoring the current API automation framework to make it in to only three packages"
OP-10591,"checking failures in pr no 4375 to analytics repo from anoop sing ,analysis failures"
OP-9822,"Java - Platform Service : Add Authentication for the integrator Artifactory"
OP-9828,"Identify the authentication API and implement it for integrator Artifactory"
OP-9829,"Desk Check"
OP-9830,"UI Automation - Script Preparation & Execution"
OP-9831,"Java - Platform Service : Add Authentication for the integrator GitHub"
OP-9837," Identify the authentication API and implement it for integrator GitHub"
OP-9838,"Desk Check"
OP-9839,"UI Automation - Script Preparation & Execution"
OP-9926,"Analysis on the requirement for this Epic"
OP-9933,"New table design to store audit trail details in audit service"
OP-9934,"Design new table to store audit trail page data"
OP-9935,"Implement new table in audit-service JPA "
OP-9936,"Implement API to store audit pipeline event in new table"
OP-10102,"Create executor service logic to store audit data"
OP-10103,"Implement new method to get connector data"
OP-10006,"Automate the resetting the DB of both OES+Spinnaker"
OP-10039,"Help Text has to be added for  the screen - Setup -> Integrator ->New Integrator ->Notifications"
OP-10077,"3.9.1.2: OES-application-service- link not show, no error"
OP-10114,"UI - Field Validations"
OP-10144,"Story grooming"
OP-10173,"UI Field Level Validations has to be added for  the screen SetUp -> Agent"
OP-10176," Test Case Preparation"
OP-10189,"UI Field level validations has to be added for  the screen SetUp -> Cloud Provider "
OP-10195,"Test cases Execution"
OP-10199,"Review - Functional test case preparation"
OP-10200,"UI Field Level Validations has to be added for the Setup -> Application screen"
OP-10203,"Test Case Preparation"
OP-10205,"Functional QA – Test Cases Execution"
OP-10207,"Review - Functional Test cases Preparation"
OP-10220," Help Text has to be added for  the Security -> Access Management"
OP-10224,"Test cases Execution"
OP-10239,"UI Field level validations has to be added for  the screen SetUp -> Integrations"
OP-10243,"Desk Check"
OP-10245,"Functional QA – Test Cases Execution"
OP-10246," UI Automation Test Script Preparation & Execution"
OP-10249,"Review - Functional test case preparation"
OP-10244,"Clone"
OP-10268,"RBAC 3.11 - Requirement Analysis "
OP-10270,"Setup - Metric template - UI is not loading properly "
OP-10273,"UI Field level validations has to be added for the screen SetUp -> Spinnaker"
OP-10277,"Desk Check"
OP-10287,"9Dec2021--AonA Issues"
OP-10299,"clone"
OP-10300,"clone"
OP-10301,"clone"
OP-10305,"Load help-text.json from service "
OP-10336,"Load help-text.json from service for 3.9 and 3.10"
OP-10876," Latest yml file to map helptext json from config file "
OP-10893,"helpText from service file - Verification, Test Verification , Manual Trigger"
OP-10897,"PR Review - Verification Pages"
OP-10339,"Generate historical data for git and jira"
OP-10349,"Unable to loin to Master image - As it is showing pop message "
OP-10354,"UI Field level validations has to be added for the screen Application SetUp -> Service"
OP-10359,"Functional QA – Test Cases Execution"
OP-10381,"Need to restrict the space in all the input fields in Spinnaker, Agent and Cloud Provider"
OP-10384,"Need to restrict the space in all the input fields in Policy"
OP-10507,"Functional Test Cases Preparation"
OP-10508,"Functional QA – Test Cases Execution"
OP-10509,"UI Automation Test Script Preparation & Execution"
OP-10510,"Automation Review"
OP-10511,"Review - Test cases preparation"
OP-10413,"UI - Show validation message when dropdown is touched and not selected any items (Common dropdown)"
OP-10423,"Create bootstrap yaml files for Sapor and Platform services"
OP-10915,"Update the pipelines to apply the boostrap config files "
OP-10430,"Help Text has to be added for  the screen - Continous Verification -> Verification -> Manual Trigger"
OP-10433,"Test Case Preparation"
OP-10434,"Functional QA – Test Cases Execution"
OP-10436,"Review - Test Cases Preparation"
OP-10486,"UI Field level validations has to be added for the screen Application SetUp -> Service -> Gate"
OP-10492,"Functional QA Test Case Preparation"
OP-10493,"Functional QA Functional QA – Test Cases Execution"
OP-10496,"Review - Test cases preparation"
OP-10524,"UI Field Level Validations has to be added for  the screen SetUp -> Application -> New Application -> Metric Template"
OP-10535,"UI Field Level Validations has to be added for  the screen SetUp -> Application -> New Application -> Log Template"
OP-10542,"Review - Functional Test cases Preparation"
OP-10554,"Terrform Custom Stage as a spinnaker Plugin"
OP-10556,"Spinnaker status not connected in SAML enabled environment "
OP-10559,"Upgrade Log4J to the latest version(Log4j-core 2.16)"
OP-10561,"Setup - Pipeline view information  is failing with 500 - dashboardservice/v3/pipelines/97/gates/127 Request Method: GET Status Code: 500 "
OP-10617,"UI change for access management -> admin role selection"
OP-10624,"Github Integrator is saving with wrong credentials"
OP-10626,"Newrelic is saving with wrong credentials"
OP-10641,"Connection issue log messages in data-science pods"
OP-10700,"Setup a pipeline to deploy the latest master images everyday onto OES-PERF-TESTING ns in GCP dev cluster"
OP-10724,"Performance Testing: Popup Error message on Application dashboard page"
OP-10725,"Tool tip Icon appears after removal of key in Json"
OP-10729,"performance Testing: Every time two requests are sent to fetch application details from OES UI"
OP-10785,"GATE service build is failing due to the shutdown of bintray"
OP-10861,"Setup > Spinnaker > Add Spinnaker - Document The Existing Error Codes And Messages For Add Spinnaker APIs"
OP-10862,"Setup > Agent > New Agent - Document The Existing Error Codes And Messages For New Agent Creation APIs"
OP-11086,"Create New Agent - Document The Existing Error Codes And Messages For Create New Agent Endpoints"
OP-11088,"Update Agent - Document The Existing Error Codes And Messages For Update Agent Endpoints"
OP-11089,"Delete Agent - Document The Existing Error Codes And Messages For Delete Agent Endpoints"
OP-10863,"Learning about monitoring tools elasticsearch and debugging code and trying to find APIs "
OP-10878,"Setup - Edit log template - Submit button is shown in disable mode"
OP-10879,"Setup - Edit log template - Submit button is shown in disable mode"
OP-10880,"Setup - Edit log template - Submit button is shown in disable mode"
OP-10881,"Performance Testing: Verification page is taking nearly 30 seconds to load all the details"
OP-10899,"listing down all tables name from platform service"
OP-10900,"Identify permission tables in platform service"
OP-10902,"3.9.5.2: Sapor-logs shows git token in plain text"
OP-10907,"Create Sonarqube  polices for Devops requirement"
OP-10908,"Experimental and Research Support for development activities"
OP-10910,"Analysis of Quota Limits and expected failures related to max response size, log entries limit in response and API request limit for Stackdriver"
OP-10909,"Documentation for stack driver logs"
OP-10937,"Research for Metric-Metric correlation across and in services"
OP-10944,"Add Spinnaker button is not getting enabled a soon as we delete spinnaker in Spinnaker tab."
OP-10955,"v3.10 - Unable to create and evaluate policy in policy management with http/s validation"
OP-10965,"Oes  - Collecting  Api's  list for  validation"
OP-10971,"Verify  Start New Deployment when applications are present"
OP-10972,"Verify  Start New Deployment button in App Dashboard page"
OP-10973,"Verify popup on clicking the Start New Deployment button"
OP-10974,"Verify select Application and Pipeline fields"
OP-10975,"Verify the pipeline parameters in the popup"
OP-10976,"Verify the pipeline execution by clicking the Run button"
OP-10977,"Verify navigate to the Pipeline, once the pipeline execution has started."
OP-11009,"Fix the controller functionality - getStatistics api failure issue"
OP-11019,"Analysis of risk prediction use-case feasibility"
OP-11085,"22Dec2021--AonA Issues"
OP-11087,"In Observer , log analysis is taking longer timethan expected."
OP-11209,"Code Review - For ldap added username and password as configurations"
OP-11180,"desk check"
OP-11238,"Implement JPA queries for Usage insights API in audit service jpa "
OP-11239,"Implement JPA queries for Usage insights API in  audit service client "
OP-11281,"Desk check"
OP-11246,"code review - extend session when user doing some activity on UI"
OP-11172,"Desk Check - UI "
OP-11173,"PR Review - UI"
OP-11176,"Unit Testing -UI"
OP-11181,"desk check"
OP-11334,"Identify list of all APIs when any previous jobs are in progress status."
OP-11335,"Identify list of all APIs when no previous jobs are in progress. "
